source,target,weight
Ronald Weasley,Sorting Hat,6
Harry Potter,Pomona Sprout,6
Rubeus Hagrid,Severus Snape,6
Father Christmas,Hermione Granger,6
Harry Potter,Seamus Finnigan,6
Oliver Wood,Salazar Slytherin,6
Godric Gryffindor,Percy Weasley,6
Colin Creevey,George Weasley,6
George Weasley,Molly Weasley,6
Arthur Weasley,Gilderoy Lockhart,6
Percy Weasley,Rowena Ravenclaw,6
Colin Creevey,Ronald Weasley,6
Colin Creevey,Oliver Wood,6
Draco Malfoy,Father Christmas,6
Filius Flitwick,Ronald Weasley,6
Ginevra Weasley,Mrs Norris,6
Harry Potter,Millicent Bulstrode,5
Gilderoy Lockhart,Molly Weasley,5
Justin Finch-Fletchley,Peeves,5
Lucius Malfoy,Ronald Weasley,5
Harry Potter,Rolanda Hooch,5
Father Christmas,Vincent Crabbe,5
Godric Gryffindor,Sorting Hat,5
Hannah Abbott,Harry Potter,5
Fawkes,Sorting Hat,5
Sorting Hat,Tom Riddle,5
Hermione Granger,Marcus Flint,5
Perkins,Ronald Weasley,5
Draco Malfoy,Tom Riddle,5
Penelope Clearwater,Percy Weasley,5
Dudley Dursley,Mason,5
Dean Thomas,Neville Longbottom,5
Percy Weasley,Salazar Slytherin,5
Colin Creevey,Gilderoy Lockhart,5
Albus Dumbledore,Sorting Hat,5
Chudley Cannons,Ronald Weasley,5
Dobby,Vernon Dursley,5
Salazar Slytherin,Sorting Hat,5
Arthur Weasley,Ronald Weasley,4
Aragog,Rubeus Hagrid,4
Oliver Wood,Rolanda Hooch,4
Draco Malfoy,Godric Gryffindor,4
Draco Malfoy,Fred Weasley,4
Fang,Marcus Flint,4
Godric Gryffindor,Salazar Slytherin,4
Hermione Granger,Seamus Finnigan,4
George Weasley,Marcus Flint,4
Ginevra Weasley,Godric Gryffindor,4
Molly Weasley,Tom Riddle,4
Percy Weasley,Rubeus Hagrid,4
George Weasley,Rowena Ravenclaw,4
Cornelius Fudge,Lucius Malfoy,4
Cuthbert Binns,Ronald Weasley,4
Harry Potter,Patrick Delaney-Podmore,4
Dean Thomas,Hermione Granger,4
Albus Dumbledore,Colin Creevey,4
Helga Hufflepuff,Ronald Weasley,4
Harry Potter,Veronica Smethley,4
Albus Dumbledore,Salazar Slytherin,4
Salazar Slytherin,Severus Snape,4
Filius Flitwick,Gilderoy Lockhart,4
Albus Dumbledore,Godric Gryffindor,4
Hermione Granger,Neville Longbottom,4
Myrtle Warren,Olive Hornby,4
Harry Potter,Rowena Ravenclaw,4
Hermione Granger,Rowena Ravenclaw,4
Errol,Hermione Granger,4
Rowena Ravenclaw,Salazar Slytherin,4
Molly Weasley,Percy Weasley,4
Hermione Granger,Molly Weasley,4
Hermione Granger,Irma Pince,4
Albus Dumbledore,Poppy Pomfrey,4
Charles Weasley,William Weasley,3
Ginevra Weasley,Myrtle Warren,3
Angelina Johnson,George Weasley,3
Albus Dumbledore,Fawkes,3
Albus Dumbledore,Fang,3
Charles Weasley,Harry Potter,3
Percy Weasley,Tom Riddle,3
Gilderoy Lockhart,Myrtle Warren,3
Helga Hufflepuff,Rowena Ravenclaw,3
Ginevra Weasley,Penelope Clearwater,3
Pomona Sprout,Ronald Weasley,3
Ginevra Weasley,Rowena Ravenclaw,3
Armando Dippet,Rubeus Hagrid,3
Angelina Johnson,Fred Weasley,3
Ronald Weasley,Vernon Dursley,3
Aragog,Ronald Weasley,3
Alicia Spinnet,Oliver Wood,3
Argus Filch,Myrtle Warren,3
Harry Potter,Mason,3
Harry Potter,Lee Jordan,3
Rubeus Hagrid,Salazar Slytherin,3
Godric Gryffindor,Helga Hufflepuff,3
Arthur Weasley,Draco Malfoy,3
Arthur Weasley,Molly Weasley,3
Gregory Goyle,Myrtle Warren,3
Irma Pince,Ronald Weasley,3
Arthur Weasley,Percy Weasley,3
Bandon Banshee,Gilderoy Lockhart,3
Borgin,Hermione Granger,3
Argus Filch,Peeves,3
Colin Creevey,Draco Malfoy,3
George Weasley,William Weasley,3
Father Christmas,Severus Snape,3
Minerva McGonagall,Peeves,3
Minerva McGonagall,Salazar Slytherin,3
Fawkes,Ronald Weasley,3
Fred Weasley,Godric Gryffindor,3
Neville Longbottom,Seamus Finnigan,3
Mason,Vernon Dursley,3
Fred Weasley,Marcus Flint,3
Fawkes,Ginevra Weasley,3
Ernest Macmillan,Harry Potter,3
Fred Weasley,Vernon Dursley,3
Filius Flitwick,Hermione Granger,3
Dobby,Rubeus Hagrid,3
Ernest Macmillan,Helga Hufflepuff,3
Lucius Malfoy,Salazar Slytherin,3
George Weasley,Salazar Slytherin,3
Dean Thomas,Severus Snape,2
Neville Longbottom,Severus Snape,2
Harry Potter,Irma Pince,2
Armando Dippet,Harry Potter,2
Hermione Granger,Sorting Hat,2
Armando Dippet,Tom Riddle,2
Fred Weasley,Lee Jordan,2
Arthur Weasley,George Weasley,2
Gregory Goyle,Severus Snape,2
Arthur Weasley,Ginevra Weasley,2
George Weasley,Vernon Dursley,2
Fred Weasley,Rolanda Hooch,2
Dobby,Tom Riddle,2
Godric Gryffindor,Tom Riddle,2
Gilderoy Lockhart,Merlin,2
Godric Gryffindor,Severus Snape,2
Fred Weasley,Rubeus Hagrid,2
Godric Gryffindor,Rowena Ravenclaw,2
Gilderoy Lockhart,Ogden,2
Argus Filch,Severus Snape,2
Argus Filch,Salazar Slytherin,2
Blood-Sucking Bugbear,Rubeus Hagrid,2
Harry Potter,Mafalda Hopkirk,2
Filius Flitwick,Harry Potter,2
Dudley Dursley,Hermione Granger,2
Minerva McGonagall,Pomona Sprout,2
Gilderoy Lockhart,Godric Gryffindor,2
Harry Potter,Perkins,2
Angelina Johnson,Harry Potter,2
Dudley Dursley,Ronald Weasley,2
Angelina Johnson,Katie Bell,2
Minerva McGonagall,Neville Longbottom,2
Angelina Johnson,Oliver Wood,2
Gilderoy Lockhart,Gregory Goyle,2
Myrtle Warren,Percy Weasley,2
Argus Filch,Fred Weasley,2
Argus Filch,Gilderoy Lockhart,2
Argus Filch,Godric Gryffindor,2
Dean Thomas,Gilderoy Lockhart,2
Parvati Patil,Ronald Weasley,2
Albus Dumbledore,Ginevra Weasley,2
Fred Weasley,Salazar Slytherin,2
Justin Finch-Fletchley,Neville Longbottom,2
Chudley Cannons,Harry Potter,2
Helga Hufflepuff,Minerva McGonagall,2
Father Christmas,Salazar Slytherin,2
George Weasley,Lee Jordan,2
Colin Creevey,Dobby,2
Dobby,Fred Weasley,2
Dobby,Draco Malfoy,2
Gilderoy Lockhart,Vincent Crabbe,2
Albus Dumbledore,Arthur Weasley,2
Albus Dumbledore,Armando Dippet,2
George Weasley,Penelope Clearwater,2
Colin Creevey,Godric Gryffindor,2
Percy Weasley,William Weasley,2
Gilderoy Lockhart,Salazar Slytherin,2
Mosag,Rubeus Hagrid,2
Helga Hufflepuff,Salazar Slytherin,2
Gilderoy Lockhart,Poppy Pomfrey,2
Errol,Percy Weasley,2
Fang,Gilderoy Lockhart,2
Seamus Finnigan,Severus Snape,2
Cornelius Fudge,Ronald Weasley,2
Ginevra Weasley,Minerva McGonagall,2
George Weasley,Hedwig,2
Ginevra Weasley,Salazar Slytherin,2
Harry Potter,William Weasley,2
Lucius Malfoy,Millicent Bulstrode,2
Lucius Malfoy,Severus Snape,2
Albus Dumbledore,Father Christmas,2
Hedwig,Vernon Dursley,2
Peter Pettigrew,Ronald Weasley,2
Dobby,Ginevra Weasley,2
Alicia Spinnet,Fred Weasley,2
George Weasley,Gilderoy Lockhart,2
Hermione Granger,Lee Jordan,2
Dean Thomas,Rubeus Hagrid,2
Charles Weasley,Percy Weasley,2
George Weasley,Godric Gryffindor,2
Justin Finch-Fletchley,Severus Snape,2
Salazar Slytherin,Seamus Finnigan,1
Severus Snape,Tom Riddle,1
Salazar Slytherin,Vincent Crabbe,1
Mrs Norris,Salazar Slytherin,1
Mrs Norris,Peeves,1
Minerva McGonagall,Seamus Finnigan,1
Mrs Norris,Severus Snape,1
Minerva McGonagall,Vincent Crabbe,1
Oliver Wood,Ronald Weasley,1
Minerva McGonagall,Rubeus Hagrid,1
Justin Finch-Fletchley,Rubeus Hagrid,1
Percy Weasley,Peter Pettigrew,1
Percy Weasley,Petunia Dursley,1
Lee Jordan,Salazar Slytherin,1
Lee Jordan,Rowena Ravenclaw,1
Marcus Flint,Rolanda Hooch,1
Oliver Wood,Rubeus Hagrid,1
Percy Weasley,Vernon Dursley,1
Lee Jordan,Ronald Weasley,1
Lee Jordan,Molly Weasley,1
Lavender Brown,Neville Longbottom,1
Katie Bell,Oliver Wood,1
Oliver Wood,Rowena Ravenclaw,1
Justin Finch-Fletchley,Salazar Slytherin,1
Justin Finch-Fletchley,Ronald Weasley,1
Ronald Weasley,William Weasley,1
Justin Finch-Fletchley,Poppy Pomfrey,1
Petunia Dursley,Pomona Sprout,1
Marcus Flint,Ronald Weasley,1
Justin Finch-Fletchley,Pomona Sprout,1
Petunia Dursley,Ronald Weasley,1
Marcus Flint,Severus Snape,1
Pomona Sprout,Severus Snape,1
Martin Miggs,Ronald Weasley,1
Rolanda Hooch,Salazar Slytherin,1
Neville Longbottom,Pomona Sprout,1
Millicent Bulstrode,Seamus Finnigan,1
Millicent Bulstrode,Vincent Crabbe,1
Minerva McGonagall,Oliver Wood,1
Minerva McGonagall,Sorting Hat,1
Adrian Pucey,George Weasley,1
Hermione Granger,Merlin,1
Draco Malfoy,Dudley Dursley,1
Colin Creevey,Mrs Norris,1
Colin Creevey,Percy Weasley,1
Colin Creevey,Poppy Pomfrey,1
Colin Creevey,Vincent Crabbe,1
Cornelius Fudge,Fang,1
Cornelius Fudge,Harry Potter,1
Cuthbert Binns,Gilderoy Lockhart,1
Cuthbert Binns,Minerva McGonagall,1
Cuthbert Binns,Neville Longbottom,1
Cuthbert Binns,Poppy Pomfrey,1
Dean Thomas,Salazar Slytherin,1
Demetrius Prod,Z. Nettles,1
Dobby,George Weasley,1
Draco Malfoy,Irma Pince,1
Father Christmas,Helga Hufflepuff,1
Draco Malfoy,Marcus Flint,1
Draco Malfoy,Minerva McGonagall,1
Draco Malfoy,Molly Weasley,1
Draco Malfoy,Mrs Norris,1
Draco Malfoy,Neville Longbottom,1
Draco Malfoy,Oliver Wood,1
Draco Malfoy,Peter Pettigrew,1
Dudley Dursley,Fred Weasley,1
Dudley Dursley,Molly Weasley,1
Ernest Macmillan,Fawcett,1
Ernest Macmillan,Peeves,1
Errol,Fred Weasley,1
Errol,Neville Longbottom,1
Colin Creevey,Minerva McGonagall,1
Colin Creevey,Justin Finch-Fletchley,1
Chudley Cannons,Hermione Granger,1
Charles Weasley,Fred Weasley,1
Adrian Pucey,Harry Potter,1
Adrian Pucey,Oliver Wood,1
Albus Dumbledore,Dobby,1
Albus Dumbledore,Draco Malfoy,1
Albus Dumbledore,Gregory Goyle,1
Albus Dumbledore,Justin Finch-Fletchley,1
Albus Dumbledore,Parvati Patil,1
Albus Dumbledore,Pomona Sprout,1
Albus Dumbledore,Vincent Crabbe,1
Alicia Spinnet,Angelina Johnson,1
Alicia Spinnet,George Weasley,1
Alicia Spinnet,Harry Potter,1
Alicia Spinnet,Katie Bell,1
Angus Fleet,Hetty Bayliss,1
Argus Filch,Colin Creevey,1
Argus Filch,Draco Malfoy,1
Argus Filch,George Weasley,1
Argus Filch,Neville Longbottom,1
Argus Filch,Pomona Sprout,1
Argus Filch,Poppy Pomfrey,1
Arthur Weasley,Fred Weasley,1
Arthur Weasley,Lucius Malfoy,1
Arthur Weasley,Tom Riddle,1
Arthur Weasley,William Weasley,1
Aurora Sinistra,Filius Flitwick,1
Bloody Baron,Harry Potter,1
Borgin,Ronald Weasley,1
Fang,Lucius Malfoy,1
Father Christmas,Millicent Bulstrode,1
Hermione Granger,Justin Finch-Fletchley,1
Hannah Abbott,Ronald Weasley,1
Gilderoy Lockhart,Tom Riddle,1
Gilderoy Lockhart,Veronica Smethley,1
Ginevra Weasley,Lee Jordan,1
Ginevra Weasley,Olive Hornby,1
Ginevra Weasley,Poppy Pomfrey,1
Ginevra Weasley,Sorting Hat,1
Ginevra Weasley,William Weasley,1
Gladys Gudgeon,Harry Potter,1
Godric Gryffindor,Justin Finch-Fletchley,1
Godric Gryffindor,Minerva McGonagall,1
Godric Gryffindor,Neville Longbottom,1
Gregory Goyle,Millicent Bulstrode,1
Gregory Goyle,Salazar Slytherin,1
Harry Potter,Helena Ravenclaw,1
Father Christmas,Minerva McGonagall,1
Harry Potter,Mosag,1
Harry Potter,Penelope Clearwater,1
Harry Potter,Peter Pettigrew,1
Harry Potter,Skower,1
Harry Potter,Wagga Wagga Werewolf,1
Hedwig,Hermione Granger,1
Helena Ravenclaw,Sorting Hat,1
Helga Hufflepuff,Justin Finch-Fletchley,1
Helga Hufflepuff,Lee Jordan,1
Helga Hufflepuff,Oliver Wood,1
Helga Hufflepuff,Peeves,1
Helga Hufflepuff,Percy Weasley,1
Hermes,Percy Weasley,1
Gilderoy Lockhart,Terry Boot,1
Gilderoy Lockhart,Sorting Hat,1
Gilderoy Lockhart,Petunia Dursley,1
Gilderoy Lockhart,Percy Weasley,1
Father Christmas,Rubeus Hagrid,1
Father Christmas,Tom Riddle,1
Fawkes,Gilderoy Lockhart,1
Fawkes,Minerva McGonagall,1
Fawkes,Salazar Slytherin,1
Filius Flitwick,Justin Finch-Fletchley,1
Filius Flitwick,Minerva McGonagall,1
Filius Flitwick,Pomona Sprout,1
Filius Flitwick,Rolanda Hooch,1
Filius Flitwick,Salazar Slytherin,1
Filius Flitwick,Severus Snape,1
Filius Flitwick,Tom Riddle,1
Fluffy,Hermione Granger,1
Fluffy,Rubeus Hagrid,1
Fred Weasley,Gregory Goyle,1
Fred Weasley,Hermes,1
Fred Weasley,Lucius Malfoy,1
Fred Weasley,Petunia Dursley,1
Fred Weasley,Tom Riddle,1
Fred Weasley,William Weasley,1
George Weasley,Petunia Dursley,1
George Weasley,Poppy Pomfrey,1
George Weasley,Rubeus Hagrid,1
Adrian Pucey,Godric Gryffindor,1
Gilderoy Lockhart,Gladys Gudgeon,1
Gilderoy Lockhart,Justin Finch-Fletchley,1
Gilderoy Lockhart,Miranda Goshawk,1
George Weasley,Tom Riddle,1
