source,target,weight
Harry Potter,Ronald Weasley,809
Harry Potter,Hermione Granger,587
Harry Potter,Rubeus Hagrid,469
Hermione Granger,Ronald Weasley,449
Harry Potter,Severus Snape,210
Albus Dumbledore,Harry Potter,196
Harry Potter,Quirinus Quirrell,157
Hermione Granger,Rubeus Hagrid,150
Dudley Dursley,Harry Potter,124
Ronald Weasley,Rubeus Hagrid,118
Draco Malfoy,Harry Potter,117
Harry Potter,Vernon Dursley,111
Harry Potter,Neville Longbottom,92
Ronald Weasley,Severus Snape,79
Argus Filch,Harry Potter,77
Hermione Granger,Severus Snape,75
Quirinus Quirrell,Severus Snape,73
Harry Potter,Tom Riddle,72
Harry Potter,Minerva McGonagall,63
Draco Malfoy,Ronald Weasley,60
Harry Potter,Oliver Wood,59
Petunia Dursley,Vernon Dursley,59
Minerva McGonagall,Ronald Weasley,57
Hermione Granger,Neville Longbottom,52
Dudley Dursley,Petunia Dursley,47
Harry Potter,Petunia Dursley,47
Dudley Dursley,Vernon Dursley,47
Fred Weasley,George Weasley,45
Neville Longbottom,Ronald Weasley,40
Fred Weasley,Harry Potter,38
Draco Malfoy,Hermione Granger,38
Gregory Goyle,Vincent Crabbe,36
Draco Malfoy,Rubeus Hagrid,35
Albus Dumbledore,Rubeus Hagrid,35
Harry Potter,Nicolas Flamel,34
Rubeus Hagrid,Tom Riddle,33
Albus Dumbledore,Hermione Granger,33
Albus Dumbledore,Minerva McGonagall,31
Neville Longbottom,Severus Snape,31
Gringotts Head Goblin,Harry Potter,29
Harry Potter,Percy Weasley,29
Nicolas Flamel,Ronald Weasley,28
Albus Dumbledore,Ronald Weasley,28
Draco Malfoy,Neville Longbottom,27
Fluffy,Harry Potter,26
Rubeus Hagrid,Severus Snape,24
Draco Malfoy,Vincent Crabbe,24
Charles Weasley,Harry Potter,23
Dudley Dursley,Piers Polkiss,22
Albus Dumbledore,Tom Riddle,21
Hermione Granger,Minerva McGonagall,21
Harry Potter,Peeves,20
Harry Potter,Hedwig,20
Draco Malfoy,Gregory Goyle,19
Argus Filch,Severus Snape,19
Charles Weasley,Ronald Weasley,19
Harry Potter,Seamus Finnigan,19
Fred Weasley,Ronald Weasley,19
Fang,Rubeus Hagrid,19
Fluffy,Rubeus Hagrid,18
Argus Filch,Draco Malfoy,18
Argus Filch,Ronald Weasley,18
Fred Weasley,Percy Weasley,18
Dedalus Diggle,Harry Potter,17
George Weasley,Harry Potter,17
Gregory Goyle,Harry Potter,17
Argus Filch,Hermione Granger,17
Ronald Weasley,Tom Riddle,17
Mrs Norris,Ronald Weasley,17
Albus Dumbledore,Petunia Dursley,16
Hermione Granger,Nicolas Flamel,16
Bane,Rubeus Hagrid,16
Harry Potter,Mrs Norris,16
Argus Filch,Rubeus Hagrid,16
Bane,Harry Potter,16
Hermione Granger,Quirinus Quirrell,16
Albus Dumbledore,Quirinus Quirrell,15
Draco Malfoy,Rolanda Hooch,15
Rubeus Hagrid,Vernon Dursley,15
Gringotts Head Goblin,Ronald Weasley,15
Ronald Weasley,Vincent Crabbe,14
Harry Potter,Piers Polkiss,14
George Weasley,Ronald Weasley,14
Gregory Goyle,Ronald Weasley,14
Harry Potter,Poppy Pomfrey,14
Fluffy,Ronald Weasley,13
Charles Weasley,Hermione Granger,13
Draco Malfoy,Fred Weasley,13
Filius Flitwick,Harry Potter,13
Argus Filch,Mrs Norris,13
Minerva McGonagall,Oliver Wood,13
Harry Potter,Rolanda Hooch,13
Albus Dumbledore,Vernon Dursley,13
Harry Potter,Vincent Crabbe,13
Poppy Pomfrey,Ronald Weasley,13
Quirinus Quirrell,Tom Riddle,12
Fang,Harry Potter,12
Bane,Ronan,12
Albus Dumbledore,Percy Weasley,12
Oliver Wood,Ronald Weasley,12
Firenze,Harry Potter,12
Quirinus Quirrell,Ronald Weasley,12
Dean Thomas,Ronald Weasley,12
Albus Dumbledore,Severus Snape,11
Harry Potter,Marcus Flint,11
Neville Longbottom,Rubeus Hagrid,11
Minerva McGonagall,Rubeus Hagrid,11
Draco Malfoy,Fang,11
Draco Malfoy,Severus Snape,10
Filius Flitwick,Hermione Granger,10
Doris Crockford,Harry Potter,10
Ginevra Weasley,Ronald Weasley,9
Neville Longbottom,Seamus Finnigan,9
Minerva McGonagall,Severus Snape,9
Albus Dumbledore,Poppy Pomfrey,9
Fluffy,Hermione Granger,9
Minerva McGonagall,Neville Longbottom,9
Charles Weasley,Rubeus Hagrid,9
Tom Riddle,Vernon Dursley,9
Algie Longbottom,Ronald Weasley,9
Hermione Granger,Tom Riddle,9
Ronan,Rubeus Hagrid,9
Draco Malfoy,Minerva McGonagall,8
Harry Potter,Ronan,8
Fluffy,Tom Riddle,8
Albus Dumbledore,Nicolas Flamel,8
Rolanda Hooch,Ronald Weasley,8
Gringotts Head Goblin,Rubeus Hagrid,8
George Weasley,Oliver Wood,8
Filius Flitwick,Ronald Weasley,8
Bloody Baron,Peeves,8
Fluffy,Severus Snape,7
George Weasley,Percy Weasley,7
Filius Flitwick,Minerva McGonagall,7
Garrick Ollivander,Harry Potter,7
Dudley Dursley,Rubeus Hagrid,7
James Potter I,Lily J. Potter,7
Nicolas Flamel,Rubeus Hagrid,7
Ronald Weasley,Seamus Finnigan,7
Charles Weasley,Oliver Wood,7
Dean Thomas,Harry Potter,6
