source,target,weight
Kreacher,Ronald Weasley,22
Cho Chang,Dolores Umbridge,22
Hedwig,Hermione Granger,22
Firenze,Ronald Weasley,22
Albus Dumbledore,Kreacher,22
Alastor Moody,Remus Lupin,22
Dean Thomas,Dolores Umbridge,21
Dolores Umbridge,Marietta Edgecombe,21
Angelina Johnson,Katie Bell,21
Gregory Goyle,Ronald Weasley,21
Alicia Spinnet,Angelina Johnson,20
Albus Dumbledore,Kingsley Shacklebolt,20
Cornelius Fudge,Hermione Granger,20
Dudley Dursley,Vernon Dursley,20
Dolores Umbridge,Godric Gryffindor,20
Cho Chang,Roger Davies,19
Molly Weasley,Nymphadora Tonks,19
Fred Weasley,Mundungus Fletcher,19
Ronald Weasley,Salazar Slytherin,19
Mundungus Fletcher,Ronald Weasley,19
Albus Dumbledore,Prime Minister,19
Harry Potter,Parvati Patil,19
George Weasley,Kreacher,19
Mark Evans,Severus Snape,19
Harry Potter,Katie Bell,18
Crookshanks,Hermione Granger,18
Crookshanks,Harry Potter,18
Bellatrix Lestrange,Neville Longbottom,18
Fred Weasley,Sirius Black,18
Fat Lady,Harry Potter,18
Minerva McGonagall,Rubeus Hagrid,18
Harry Potter,Lavender Brown,17
Harry Potter,Mungo Bonham,17
Godric Gryffindor,Luna Lovegood,17
Alicia Spinnet,Katie Bell,17
Molly Weasley,William Weasley,17
Dolores Umbridge,Ginevra Weasley,17
Cornelius Fudge,Marietta Edgecombe,17
Ginevra Weasley,Nymphadora Tonks,17
Dobby,Hermione Granger,17
George Weasley,Mundungus Fletcher,16
Remus Lupin,Ronald Weasley,16
Harry Potter,Roger Davies,16
Aberforth Dumbledore,Harry Potter,16
Draco Malfoy,Rubeus Hagrid,16
Albus Dumbledore,Phineas Nigellus Black,16
Dolores Umbridge,Neville Longbottom,16
Michael Corner,Ronald Weasley,16
Bellatrix Lestrange,Tom Riddle,16
Cornelius Fudge,Percy Weasley,16
Albus Dumbledore,Arabella Figg,16
Harry Potter,William Weasley,16
Severus Snape,Tom Riddle,15
Bane,Harry Potter,15
Nymphadora Tonks,Sirius Black,15
Karkus,Rubeus Hagrid,15
Harry Potter,Poppy Pomfrey,15
Albus Dumbledore,Percy Weasley,15
Ginevra Weasley,Sirius Black,15
Arthur Weasley,Nymphadora Tonks,15
Hedwig,Ronald Weasley,15
Neville Longbottom,Sirius Black,15
Dean Thomas,Neville Longbottom,14
Cornelius Fudge,Minerva McGonagall,14
Hermione Granger,Nymphadora Tonks,14
Harry Potter,Zacharias Smith,14
Angelina Johnson,George Weasley,14
Draco Malfoy,Sirius Black,14
Albus Dumbledore,Remus Lupin,14
Albus Dumbledore,Sybill Trelawney,14
Angelina Johnson,Fred Weasley,14
Gilderoy Lockhart,Hermione Granger,14
Griselda Marchbanks,Harry Potter,14
Alicia Spinnet,Harry Potter,14
Neville Longbottom,Seamus Finnigan,13
Arabella Figg,Dudley Dursley,13
Albus Dumbledore,Neville Longbottom,13
Karkus,Olympe Maxime,13
Fawkes,Harry Potter,13
Dolores Umbridge,Remus Lupin,13
Cuthbert Binns,Harry Potter,13
Harry Potter,Sturgis Podmore,13
Hermione Granger,Vincent Crabbe,13
Kingsley Shacklebolt,Nymphadora Tonks,13
George Weasley,Percy Weasley,13
Albus Dumbledore,Arthur Weasley,13
Draco Malfoy,Ernest Macmillan,13
George Weasley,Sirius Black,13
Filius Flitwick,Minerva McGonagall,13
Albus Dumbledore,Fawkes,13
Filius Flitwick,Harry Potter,13
Antonin Dolohov,Harry Potter,12
Harry Potter,Susan Bones,12
Draco Malfoy,Minerva McGonagall,12
Crookshanks,Ginevra Weasley,12
Hermione Granger,Seamus Finnigan,12
James Potter I,Remus Lupin,12
Peeves,Ronald Weasley,12
Hermione Granger,Michael Corner,12
Hermione Granger,Remus Lupin,12
Kingsley Shacklebolt,Sirius Black,12
Harry Potter,Pomona Sprout,12
Fred Weasley,Katie Bell,12
Father Christmas,Hermione Granger,12
Grawp,Ronald Weasley,12
Hermione Granger,Lavender Brown,11
Cho Chang,Dobby,11
Fred Weasley,Godric Gryffindor,11
Augustus Rookwood,Harry Potter,11
Gregory Goyle,Hermione Granger,11
Bradley,Ronald Weasley,11
Harry Potter,Trevor,11
Arthur Weasley,Fred Weasley,11
Hermione Granger,Pansy Parkinson,11
Hermione Granger,Terry Boot,11
Gilderoy Lockhart,Ginevra Weasley,11
Alicia Spinnet,Fred Weasley,11
Katie Bell,Ronald Weasley,11
Ginevra Weasley,Godric Gryffindor,11
Minerva McGonagall,Sybill Trelawney,11
Harry Potter,Pansy Parkinson,11
Rubeus Hagrid,Sirius Black,11
Cassandra Trelawney,Harry Potter,11
Dolores Umbridge,Filius Flitwick,10
Lucius Malfoy,Sirius Black,10
Filius Flitwick,Hermione Granger,10
Dolores Umbridge,Luna Lovegood,10
Godric Gryffindor,Salazar Slytherin,10
Lily J. Potter,Sirius Black,10
Harry Potter,Padma Patil,10
Buckbeak,Harry Potter,10
Fred Weasley,Peeves,10
Crookshanks,Ronald Weasley,10
Kingsley Shacklebolt,Remus Lupin,10
Ronald Weasley,Sturgis Podmore,10
Neville Longbottom,Severus Snape,10
Minerva McGonagall,Pomona Sprout,10
Draco Malfoy,Fred Weasley,10
Alastor Moody,Molly Weasley,10
Alastor Moody,Kingsley Shacklebolt,10
Argus Filch,Ronald Weasley,10
Angelina Johnson,Draco Malfoy,10
George Weasley,Zacharias Smith,9
Filius Flitwick,Ronald Weasley,9
Pansy Parkinson,Vincent Crabbe,9
Godric Gryffindor,Katie Bell,9
George Weasley,Godric Gryffindor,9
Marietta Edgecombe,Minerva McGonagall,9
Gregory Goyle,Pansy Parkinson,9
Firenze,Parvati Patil,9
Dolores Umbridge,Tom Riddle,9
Dobby,Winky,9
Fred Weasley,William Weasley,9
Alastor Moody,Sturgis Podmore,9
Ernest Macmillan,Ronald Weasley,9
Alastor Moody,Tom Riddle,9
Luna Lovegood,Rubeus Hagrid,9
Harry Potter,Rowena Ravenclaw,9
Avery (Marauder-era),Harry Potter,9
Cadogan,Harry Potter,9
Oliver Wood,Ronald Weasley,9
Fred Weasley,Kreacher,9
Arthur Weasley,George Weasley,9
Hermione Granger,Sturgis Podmore,9
Father Christmas,Sirius Black,9
Harry Potter,Oliver Wood,9
Nymphadora Tonks,Ronald Weasley,9
Graham Montague,Severus Snape,9
Hermione Granger,Zacharias Smith,9
Ginevra Weasley,Remus Lupin,9
Hermione Granger,Rowena Ravenclaw,9
Godric Gryffindor,Graham Montague,8
Dobby,Sirius Black,8
Ronald Weasley,Zacharias Smith,8
Fang,Harry Potter,8
Hermione Granger,Sorting Hat,8
Harry Potter,Winky,8
Luna Lovegood,Rita Skeeter,8
Alastor Moody,George Weasley,8
Draco Malfoy,Salazar Slytherin,8
Filius Flitwick,George Weasley,8
Harry Potter,Helga Hufflepuff,8
Angelina Johnson,Dolores Umbridge,8
Draco Malfoy,Neville Longbottom,8
Albus Dumbledore,William Weasley,8
Harry Potter,Stanley Shunpike,8
Neville Longbottom,Vincent Crabbe,8
Cuthbert Binns,Ronald Weasley,8
Ronald Weasley,Vincent Crabbe,8
Harry Potter,Mrs Norris,8
Albus Dumbledore,Mundungus Fletcher,8
Albus Dumbledore,Griselda Marchbanks,8
Harry Potter,Irma Pince,8
Mungo Bonham,Ronald Weasley,8
Alicia Spinnet,Ronald Weasley,8
Cornelius Fudge,Draco Malfoy,8
Cassandra Trelawney,Ronald Weasley,8
Dolores Umbridge,Ernest Macmillan,8
Rubeus Hagrid,Sybill Trelawney,8
Hermione Granger,Lucius Malfoy,8
Harry Potter,Pigwidgeon,8
Neville Longbottom,Remus Lupin,8
Godric Gryffindor,Rolanda Hooch,8
Argus Filch,Cho Chang,8
Arthur Weasley,Ronald Weasley,8
Charles Weasley,George Weasley,7
Broderick Bode,Harry Potter,7
Alastor Moody,Albus Dumbledore,7
Harry Potter,Michael Corner,7
Harry Potter,Lily J. Potter,7
Charles Weasley,Fred Weasley,7
Ronald Weasley,William Weasley,7
Aberforth Dumbledore,Cornelius Fudge,7
Aberforth Dumbledore,Ronald Weasley,7
Dobby,Father Christmas,7
Cho Chang,Fred Weasley,7
Alicia Spinnet,George Weasley,7
Bellatrix Lestrange,Rodolphus Lestrange,7
Hermione Granger,Wilbert Slinkhard,7
Neville Longbottom,Trevor,7
Neville Longbottom,Tom Riddle,7
Alice Longbottom,Harry Potter,7
Dolores Umbridge,Magorian,7
Fred Weasley,Nymphadora Tonks,7
Antonin Dolohov,Sirius Black,7
Kingsley Shacklebolt,William Weasley,7
Arthur Weasley,Remus Lupin,7
Amelia Bones,Edgar Bones,7
Amelia Bones,Harry Potter,7
George Weasley,Tom Riddle,7
Fred Weasley,Tom Riddle,7
George Weasley,Remus Lupin,7
Dobby,Ronald Weasley,7
George Weasley,Nymphadora Tonks,7
George Weasley,Katie Bell,7
Albus Dumbledore,Seamus Finnigan,7
Arthur Weasley,Dilys Derwent,7
Cedric Diggory,Hermione Granger,7
Hermione Granger,Parvati Patil,7
Hannah Abbott,Harry Potter,7
Hermione Granger,Lee Jordan,7
Draco Malfoy,Ginevra Weasley,7
Parvati Patil,Rubeus Hagrid,7
Harry Potter,Will,7
Albus Dumbledore,Ginevra Weasley,7
Hermione Granger,Mundungus Fletcher,7
Hermione Granger,Peeves,7
Alastor Moody,Sirius Black,7
Cho Chang,Ginevra Weasley,7
Augustus Rookwood,Tom Riddle,7
Griselda Marchbanks,Ronald Weasley,6
Cho Chang,George Weasley,6
Cho Chang,Luna Lovegood,6
Filius Flitwick,Pomona Sprout,6
Fat Lady,Ronald Weasley,6
Cedric Diggory,Tom Riddle,6
Harry Potter,Magorian,6
Fred Weasley,Remus Lupin,6
Dolores Umbridge,Peeves,6
Cho Chang,Severus Snape,6
Cuthbert Binns,Hermione Granger,6
Cuthbert Binns,Fred Weasley,6
Dolores Umbridge,Parvati Patil,6
Fred Weasley,Graham Montague,6
Ginevra Weasley,Rowena Ravenclaw,6
Gregory Goyle,Minerva McGonagall,6
Ginevra Weasley,Tom Riddle,6
Father Christmas,Ronald Weasley,6
Godric Gryffindor,Minerva McGonagall,6
Graham Montague,Ronald Weasley,6
Dudley Dursley,Mark Evans,6
Dolores Umbridge,Pansy Parkinson,6
Fred Weasley,Percy Weasley,6
Aberforth Dumbledore,Alastor Moody,6
Augustus Pye,Molly Weasley,6
Harry Potter,Puddifoot,6
Alastor Moody,Mundungus Fletcher,6
James Potter I,Lily J. Potter,6
Albus Dumbledore,Nymphadora Tonks,6
Hermione Granger,Prime Minister,6
Ragnok,William Weasley,6
Ronald Weasley,Sybill Trelawney,6
Hedwig,Pigwidgeon,6
Hedwig,Nymphadora Tonks,6
Ronald Weasley,Viktor Krum,6
Arthur Weasley,Cornelius Fudge,6
Kingsley Shacklebolt,Marietta Edgecombe,6
Albus Dumbledore,Firenze,6
Minerva McGonagall,Vincent Crabbe,6
Remus Lupin,Tom Riddle,6
Andrew Kirke,Jack Sloper,6
Hermione Granger,Mungo Bonham,6
Albus Dumbledore,Argus Filch,6
Minerva McGonagall,Neville Longbottom,6
Angelina Johnson,Godric Gryffindor,6
Pomona Sprout,Ronald Weasley,6
Lucius Malfoy,Sturgis Podmore,6
Cedric Diggory,Dolores Umbridge,6
Dolores Umbridge,Tom Riddle Senior,5
Hestia Jones,Kingsley Shacklebolt,5
Cornelius Fudge,Susan Bones,5
Godric Gryffindor,Severus Snape,5
Cornelius Fudge,Sirius Black,5
Percy Weasley,Tom Riddle,5
Albus Dumbledore,Everard,5
Cornelius Fudge,Ronald Weasley,5
Angelina Johnson,Dobby,5
Parvati Patil,Sybill Trelawney,5
Cornelius Fudge,Kingsley Shacklebolt,5
Hermione Granger,Will,5
Hermione Granger,Sybill Trelawney,5
Arthur Weasley,Hermione Granger,5
Arthur Weasley,Mungo Bonham,5
Godric Gryffindor,Helga Hufflepuff,5
Cornelius Fudge,Luna Lovegood,5
Albus Dumbledore,George Weasley,5
Olympe Maxime,Ronald Weasley,5
Argus Filch,Hermione Granger,5
Molly Weasley,Severus Snape,5
Angelina Johnson,Cassius Warrington,5
Andromeda Tonks,Sirius Black,5
Luna Lovegood,Rowena Ravenclaw,5
Angelina Johnson,Minerva McGonagall,5
Dobby,Hedwig,5
George Weasley,William Weasley,5
Fred Weasley,Zacharias Smith,5
Lavender Brown,Rubeus Hagrid,5
Dean Thomas,Hermione Granger,5
Lavender Brown,Minerva McGonagall,5
Neville Longbottom,Padma Patil,5
Cornelius Fudge,Williamson,5
Ginevra Weasley,Mungo Bonham,5
Fred Weasley,Mungo Bonham,5
Dolores Umbridge,Lee Jordan,5
Antonin Dolohov,Hermione Granger,5
Cuthbert Binns,Dolores Umbridge,5
Crookshanks,Sirius Black,5
Fred Weasley,Minerva McGonagall,5
Fred Weasley,Luna Lovegood,5
Argus Filch,George Weasley,5
Pansy Parkinson,Ronald Weasley,5
Godric Gryffindor,Trevor,5
Ernest Macmillan,Hannah Abbott,5
Albus Dumbledore,Dilys Derwent,5
Draco Malfoy,Pansy Parkinson,5
Hedwig,Sirius Black,5
Alastor Moody,Hermione Granger,5
Rita Skeeter,Tom Riddle,5
Cho Chang,Pansy Parkinson,5
Alastor Moody,Fred Weasley,5
Filius Flitwick,Fred Weasley,5
Aberforth Dumbledore,George Weasley,5
Edgar Bones,Harry Potter,5
Fang,Hermione Granger,5
Broderick Bode,Mungo Bonham,5
Charles Weasley,Ronald Weasley,5
Harry Potter,Justin Finch-Fletchley,5
Buckbeak,Sirius Black,5
Buckbeak,Walden Macnair,5
Euan Abercrombie,Harry Potter,5
Cassius Warrington,Ginevra Weasley,5
Ernest Macmillan,Justin Finch-Fletchley,5
Harry Potter,Lee Jordan,5
Ernest Macmillan,Hermione Granger,5
Ernest Macmillan,Helga Hufflepuff,5
Cassius Warrington,Salazar Slytherin,5
Draco Malfoy,Rolanda Hooch,5
George Weasley,Minerva McGonagall,5
Draco Malfoy,Nymphadora Tonks,5
Draco Malfoy,Katie Bell,5
Bane,Firenze,5
Hermione Granger,Millicent Bulstrode,5
Hermione Granger,Karkus,5
Griselda Marchbanks,Hermione Granger,5
Minerva McGonagall,Severus Snape,4
Aberforth Dumbledore,Fred Weasley,4
Fred Weasley,Severus Snape,4
Draco Malfoy,Godric Gryffindor,4
Minerva McGonagall,Peeves,4
Poppy Pomfrey,Ronald Weasley,4
Minerva McGonagall,Willy Widdershins,4
Everard,Harry Potter,4
Albus Dumbledore,Bellatrix Lestrange,4
Minerva McGonagall,Mungo Bonham,4
Draco Malfoy,Graham Montague,4
Michael Corner,Rowena Ravenclaw,4
Fred Weasley,Roger Davies,4
Emmeline Vance,Harry Potter,4
Andromeda Tonks,Harry Potter,4
Andromeda Tonks,Kreacher,4
Dolores Umbridge,Wilbert Slinkhard,4
Dobby,George Weasley,4
Percy Weasley,Prime Minister,4
Pigwidgeon,Sirius Black,4
Albus Dumbledore,Cedric Diggory,4
Dobby,Dolores Umbridge,4
Doris Purkiss,Stubby Boardman,4
Pigwidgeon,Ronald Weasley,4
Marietta Edgecombe,Prime Minister,4
Molly Weasley,Percy Weasley,4
Mungo Bonham,Neville Longbottom,4
Parvati Patil,Ronald Weasley,4
Filius Flitwick,Sybill Trelawney,4
Albus Dumbledore,Lucius Malfoy,4
Quirinus Quirrell,Tom Riddle,4
Remus Lupin,William Weasley,4
Albus Dumbledore,Merlin,4
Albus Dumbledore,Karkus,4
Alastor Moody,Ginevra Weasley,4
Dolores Umbridge,Poppy Pomfrey,4
Dolores Umbridge,Salazar Slytherin,4
Prime Minister,Tom Riddle Senior,4
Albus Dumbledore,Olympe Maxime,4
Roger Davies,Ronald Weasley,4
Albus Dumbledore,Sturgis Podmore,4
Ronald Weasley,Rowena Ravenclaw,4
Alastor Moody,Vernon Dursley,4
Nymphadora Tonks,Severus Snape,4
Phineas Nigellus Black,Sirius Black,4
Adrian Pucey,Katie Bell,4
Ronald Weasley,Will,4
Alicia Spinnet,Cassius Warrington,4
Father Christmas,Tom Riddle,4
Adrian Pucey,Angelina Johnson,4
Adrian Pucey,Alicia Spinnet,4
Dolores Umbridge,Lavender Brown,4
Rubeus Hagrid,Walden Macnair,4
Fat Lady,Hermione Granger,4
Dolores Umbridge,Kingsley Shacklebolt,4
Pansy Parkinson,Salazar Slytherin,4
Alice Longbottom,Neville Longbottom,4
Cedric Diggory,Dudley Dursley,4
Godric Gryffindor,Rowena Ravenclaw,4
Cornelius Fudge,George Weasley,4
Bartemius Crouch Junior,Prime Minister,4
Hermione Granger,Magorian,4
Hermione Granger,Olympe Maxime,4
Hermione Granger,Percy Weasley,4
Aurora Sinistra,Harry Potter,4
Hermione Granger,Pomona Sprout,4
Graham Montague,Katie Bell,4
Graham Montague,Hermione Granger,4
Hermione Granger,Ronan,4
Ginevra Weasley,Rubeus Hagrid,4
Arthur Weasley,Willy Widdershins,4
Hermione Granger,Salazar Slytherin,4
Godric Gryffindor,Padma Patil,4
Arthur Weasley,Ginevra Weasley,4
Hermione Granger,Viktor Krum,4
Irma Pince,Ronald Weasley,4
Crookshanks,Hedwig,4
Aragog,Hermione Granger,4
Helga Hufflepuff,Summerby,4
Helga Hufflepuff,Salazar Slytherin,4
Griselda Marchbanks,Rubeus Hagrid,4
Cho Chang,Rowena Ravenclaw,4
Harry Potter,Mark Evans,4
Cassius Warrington,Katie Bell,4
Harry Potter,Olympe Maxime,4
Harry Potter,Perkins,4
Harry Potter,Pierre Bonaccord,4
Broderick Bode,Hermione Granger,4
Harry Potter,Sorting Hat,4
Cho Chang,Father Christmas,4
Harry Potter,Terry Boot,4
Harry Potter,Wilbert Slinkhard,4
Cho Chang,Neville Longbottom,4
Cho Chang,Oliver Wood,4
Hannah Abbott,Justin Finch-Fletchley,4
Cho Chang,Peeves,4
Cho Chang,Prime Minister,4
Hannah Abbott,Helga Hufflepuff,4
Helga Hufflepuff,Ronald Weasley,4
Aragog,Harry Potter,4
Angelina Johnson,Hermione Granger,4
Lavender Brown,Ronald Weasley,4
Lucius Malfoy,Severus Snape,4
Angelina Johnson,Ginevra Weasley,4
Lucius Malfoy,Tom Riddle,4
Dean Thomas,Ginevra Weasley,4
Lavender Brown,Neville Longbottom,4
Kreacher,Tom Riddle,4
Lee Jordan,Ronald Weasley,4
Angelina Johnson,Vincent Crabbe,4
Dean Thomas,Remus Lupin,4
Anthony Goldstein,Terry Boot,4
Luna Lovegood,Parvati Patil,4
Filius Flitwick,Ginevra Weasley,3
Katie Bell,Roger Davies,3
Hannah Abbott,Terry Boot,3
Ronald Weasley,Vernon Dursley,3
Harold Dingle,Harry Potter,3
Rolanda Hooch,Vincent Crabbe,3
Fred Weasley,Wilbert Slinkhard,3
Rodolphus Lestrange,Sirius Black,3
Hannah Abbott,Susan Bones,3
Harold Dingle,Ronald Weasley,3
Fred Weasley,Vincent Crabbe,3
Hannah Abbott,Hermione Granger,3
Minerva McGonagall,Parvati Patil,3
Helga Hufflepuff,Hermione Granger,3
Minerva McGonagall,Poppy Pomfrey,3
Fred Weasley,Sybill Trelawney,3
Hedwig,Luna Lovegood,3
Rowena Ravenclaw,Sorting Hat,3
Harry Potter,Willy Widdershins,3
Minerva McGonagall,Rolanda Hooch,3
Tom Riddle,Vernon Dursley,3
Harry Potter,Millicent Bulstrode,3
Luna Lovegood,Salazar Slytherin,3
Merlin,Sirius Black,3
Susan Bones,Terry Boot,3
Ernest Macmillan,Susan Bones,3
Euan Abercrombie,Godric Gryffindor,3
George Weasley,Roger Davies,3
Sturgis Podmore,Tom Riddle,3
Harry Potter,Quirinus Quirrell,3
Luna Lovegood,Padma Patil,3
Harry Potter,Stubby Boardman,3
Lucius Malfoy,Theodore Nott,3
Sirius Black,Stanley Shunpike,3
Father Christmas,George Weasley,3
Severus Snape,Vincent Crabbe,3
Salazar Slytherin,Severus Snape,3
Ernest Macmillan,Gregory Goyle,3
Harry Potter,Viktor Krum,3
Minerva McGonagall,Prime Minister,3
Minerva McGonagall,Salazar Slytherin,3
Rabastan Lestrange,Rodolphus Lestrange,3
Neville Longbottom,Salazar Slytherin,3
Mungo Bonham,Severus Snape,3
Godric Gryffindor,Parvati Patil,3
Mungo Bonham,Sirius Black,3
Fred Weasley,Kenneth Towler,3
Narcissa Malfoy,Sirius Black,3
Ginevra Weasley,Mundungus Fletcher,3
Hippocrates Smethwyck,Molly Weasley,3
Pansy Parkinson,Rubeus Hagrid,3
Kingsley Shacklebolt,Percy Weasley,3
Ginevra Weasley,Vincent Crabbe,3
Jack Sloper,Ronald Weasley,3
Olympe Maxime,Walden Macnair,3
Kingsley Shacklebolt,Molly Weasley,3
Olympe Maxime,Sirius Black,3
Kingsley Shacklebolt,Minerva McGonagall,3
Ginevra Weasley,Salazar Slytherin,3
Neville Longbottom,Pomona Sprout,3
Justin Finch-Fletchley,Susan Bones,3
Justin Finch-Fletchley,Terry Boot,3
Nymphadora Tonks,Petunia Dursley,3
Karkus,Ronald Weasley,3
Godric Gryffindor,Pomona Sprout,3
Kingsley Shacklebolt,Ronald Weasley,3
Mundungus Fletcher,Remus Lupin,3
Ginevra Weasley,Lucius Malfoy,3
Firenze,Lavender Brown,3
Gregory Goyle,Salazar Slytherin,3
Hermione Granger,Merlin,3
Gregory Goyle,Neville Longbottom,3
Lavender Brown,Luna Lovegood,3
Firenze,Sybill Trelawney,3
Pomona Sprout,Sybill Trelawney,3
Hermione Granger,Padma Patil,3
Hermione Granger,Pigwidgeon,3
